Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Same_Location,Hour,Sender_transaction_count,Receiver_transaction_count,currency_match
2603.3,UK pounds,UK pounds,UK,UK,Cash Deposit,1,True,10,93,28,1
106.04,UK pounds,Indian rupee,UK,India,Cash Withdrawal,1,False,11,180,36,0
5903.33,UK pounds,Mexican Peso,UK,Mexico,Cross-border,1,False,11,695,1,0
3957.87,UK pounds,Naira,UK,Nigeria,Cross-border,1,False,11,16,49,0
7832.41,UK pounds,UK pounds,UK,UK,Debit card,1,True,12,147,42,1
3252.35,UK pounds,US dollar,UK,USA,Cross-border,1,False,12,672,1,0
10753.26726981541,Yen,UK pounds,Japan,UK,Cross-border,1,False,13,265,8,0
13837.82,UK pounds,UK pounds,UK,UK,Credit card,1,True,13,6,5,1
4194.02,UK pounds,UK pounds,UK,UK,Cash Deposit,1,True,13,31,41,1
10511.87,UK pounds,UK pounds,UK,UK,Debit card,1,True,13,297,18,1
6112.62,UK pounds,Naira,UK,Nigeria,Cross-border,1,False,13,654,1,0
4196.36,UK pounds,UK pounds,UK,UK,Debit card,1,True,14,19,44,1
5507.45,UK pounds,UK pounds,UK,UK,Cheque,1,True,15,253,10,1
10150.12,UK pounds,Indian rupee,UK,Turkey,Cross-border,1,False,17,119,7,0
114.2,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,True,17,31,36,1
7918.52,UK pounds,UK pounds,UK,UK,Credit card,1,True,17,8,54,1
25347.84520111184,UK pounds,UK pounds,UK,UK,Credit card,1,True,18,3,5,1
9146.27,US dollar,UK pounds,UK,UK,Credit card,1,True,19,15,17,0
7872.17,UK pounds,UK pounds,UK,UK,Credit card,1,True,20,10,146,1
7481.83,Albanian lek,UK pounds,UK,UK,Credit card,1,True,20,296,26,0
6945.4,UK pounds,Indian rupee,UK,UK,Cheque,1,True,20,204,10,0
3754.95,Dirham,UK pounds,UK,UK,Credit card,1,True,21,6,8,0
4310.361700621929,UK pounds,Yen,UK,Japan,Cross-border,1,False,22,261,10,0
204.49,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,True,22,31,36,1
9954.48,UK pounds,UK pounds,UK,UK,Debit card,1,True,22,217,17,1
3860.81,Yen,UK pounds,Japan,UK,Cross-border,1,False,23,24,3,0
5059.77,UK pounds,UK pounds,UK,UK,Debit card,1,True,23,5,3,1
97.93,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,True,1,31,36,1
7961.54,Albanian lek,UK pounds,Albania,UK,Cross-border,1,False,4,233,42,0
331.41,UK pounds,Indian rupee,UK,India,Cash Withdrawal,1,False,6,180,36,0
10188.86,UK pounds,UK pounds,UK,UK,Credit card,1,True,6,15,186,1
3966.93,UK pounds,Naira,UK,Nigeria,Cross-border,1,False,7,2,49,0
7475.99,UK pounds,UK pounds,UK,UK,ACH,1,True,8,263,146,1
